ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1525000:-3675000,-1525000,-3675000,0.991991991991992,0.991991991991992,0.972972972972973,0.992992992992993,0.96996996996997
-1525000:-3725000,-1525000,-3725000,,,0.953953953953954,0.956956956956957,
-1525000:-3775000,-1525000,-3775000,0.986986986986987,0.986986986986987,0.958958958958959,0.983983983983984,0.980980980980981
-1525000:-3825000,-1525000,-3825000,0.988988988988989,0.988988988988989,,0.982982982982983,0.983983983983984
-1525000:-3875000,-1525000,-3875000,,,,,
-1575000:-2275000,-1575000,-2275000,,,,,
-1575000:-2325000,-1575000,-2325000,,,,,
-1575000:-2375000,-1575000,-2375000,,,,,
-1575000:-2425000,-1575000,-2425000,,,,,
-1575000:-2475000,-1575000,-2475000,,,,,
-1575000:-2525000,-1575000,-2525000,,,,,
-1575000:-2575000,-1575000,-2575000,,,,,
-1575000:-2625000,-1575000,-2625000,,,,,
-1575000:-2675000,-1575000,-2675000,,,,,
